target,species,genus,family,order,class,phylum,kingdom,domain,ref
Man(a1-2)Man(a1-6)[Galf(b1-2)][Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp,Acremonium,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
Man(a1-2)Man(a1-2)Man(a1-3)[Galf(b1-2)[Man(a1-3)][Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp,Acremonium,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
Galf(b1-2)[Man(a1-3)][Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp,Acremonium,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp,Acremonium,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Acremonium_sp,Acremonium,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Eukarya,
Man(a1-6)[Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Actinidia_chinensis,Actinidia,Actinidiaceae,Ericales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Man(a1-3)Man(a1-6)[Man(a1-3)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Actinidia_chinensis,Actinidia,Actinidiaceae,Ericales,Dicotyledons,Angiosperms,Plantae,Eukarya,
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc,Actinidia_chinensis,Actinidia,Actinidiaceae,Ericales,Dicotyledons,Angiosperms,Plantae,Eukarya,
Man(a1-3)[Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Actinidia_chinensis,Actinidia,Actinidiaceae,Ericales,Dicotyledons,Angiosperms,Plantae,Eukarya,
GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Actinidia_chinensis,Actinidia,Actinidiaceae,Ericales,Dicotyledons,Angiosperms,Plantae,Eukarya,
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][Xyl(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,Actinidia_chinensis,Actinidia,Actinidiaceae,Ericales,Dicotyledons,Angiosperms,Plantae,Eukarya,
