mAbs,mAb specificty,Ground1_(6d),Ground2_(6d),Ground3_(6d),Ground4_(11d),Ground5_(11d),Ground6_(11d),Space1_(6d),Space2_(6d),Space3_(6d),Space4_(11d),Space5_(11d),Space6_(11d)
CCRC-M146,Xylan-5,0.4055,0.4895,0.318,0.525,0.3635,0.375,0.3625,0.344,0.312,0.528,0.4885,0.47
CCRC-M145,Xylan-5,0.4325,0.5275,0.3565,0.51,0.427,0.433,0.389,0.371,0.3525,0.507,0.481,0.462
CCRC-M155,Xylan-5,0.301,0.31,0.2715,0.3815,0.405,0.304,0.27,0.3705,0.2445,0.395,0.4,0.3715
CCRC-M153,Xylan-6,0.19,0.1965,0.1325,0.2765,0.238,0.188,0.1505,0.204,0.1345,0.3505,0.309,0.331
CCRC-M151,Xylan-6,0.189,0.2125,0.124,0.328,0.165,0.1865,0.1465,0.155,0.118,0.4055,0.322,0.32
CCRC-M148,Xylan-6,0.27,0.338,0.2245,0.3945,0.308,0.275,0.2235,0.245,0.181,0.4725,0.4085,0.4475
CCRC-M140,Xylan-6,0.402,0.496,0.289,0.579,0.409,0.4345,0.2875,0.335,0.305,0.6905,0.5625,0.538
CCRC-M139,Xylan-6,0.342,0.4445,0.2175,0.509,0.3215,0.34,0.2695,0.274,0.2345,0.592,0.529,0.435
CCRC-M138,Xylan-6,0.25,0.336,0.181,0.3175,0.2845,0.2565,0.2105,0.2455,0.186,0.4695,0.384,0.414
CCRC-M160,Xylan-7,0.439,0.4025,0.4105,0.4785,0.4415,0.402,0.3805,0.477,0.349,0.471,0.4815,0.416
CCRC-M137,Xylan-7,0.296,0.3685,0.255,0.412,0.2685,0.274,0.265,0.232,0.2325,0.4695,0.408,0.408
CCRC-M152,Xylan-7,0.2925,0.3065,0.2645,0.3385,0.384,0.286,0.2645,0.332,0.25,0.364,0.309,0.3775
CCRC-M149,Xylan-7,0.2395,0.293,0.182,0.36,0.2585,0.26,0.2125,0.23,0.18,0.407,0.3635,0.364
CCRC-M75,Galactomannan-1,0,0.00675,0.00775,0.00025,0.0065,0.00325,0,0.006,0.00375,0.0095,0.00175,0.00575
CCRC-M70,Galactomannan-1,0.004,0.004,0.002,0,0.00275,0.001,0,0.00075,0.013,0.0055,0.001,0
CCRC-M74,Galactomannan-1,0.003,0.0105,0.006,0.0035,0,0,0.003,0.001,0,0,0.012,0.001
CCRC-M166,Galactomannan-2,0.003,0.0005,0.02925,0.00025,0,0.00125,0,0,0.00025,0,0.00075,0.00025
CCRC-M168,Galactomannan-2,0.022,0.0115,0.012,0.007,0.0085,0.0095,0.0095,0.0075,0.0165,0.009,0.0065,0.0085
CCRC-M174,Galactomannan-2,0.0015,0,0.001,0,0.003,0,0.002,0.0005,0.00075,0.001,0.00025,0
CCRC-M175,Galactomannan-2,0,0.00325,0.02775,0,0.002,0,0,0,0.008,0.0065,0.00225,0.00125
CCRC-M169,Acetylated Mannan,0.0135,0.022,0.016,0.0165,0.0095,0.02,0.0185,0.0125,0.016,0.0155,0.0125,0.0205
CCRC-M170,Acetylated Mannan,0.0025,0.0075,0.059,0.002,0.002,0.0015,0.002,0.00025,0.017,0.0015,0.00025,0.004
LAMP,?-Glucan,0,0,0,0,0,0.001,0,0.002,0.004,0,0.0005,0
BG1,?-Glucan,0.056,0.044,0.009,0.0225,0.0995,0.0905,0.021,0.254,0.046,0.031,0.036,0.221
CCRC-M131,HG Backbone-1,0.285,0.445,0.2275,0.446,0.3965,0.323,0.2265,0.342,0.1895,0.411,0.41,0.451
CCRC-M38,HG Backbone-1,0.2765,0.367,0.238,0.332,0.3375,0.2955,0.2475,0.2985,0.202,0.366,0.327,0.3365
JIM5,HG Backbone-1,0.099,0.1955,0.0615,0.1925,0.1285,0.11,0.023,0.1275,0.0605,0.1705,0.1775,0.189
JIM136,HG Backbone-2,0.0035,0.0055,0.0025,0.0035,0.001,0.0025,0.002,0.0025,0.0045,0.003,0.003,0.003
JIM7,HG Backbone-2,0.0025,0.0055,0.003,0.0025,0,0.0075,0.0035,0.0005,0.0065,0.0065,0.0005,0.0055
CCRC-M69,RG-I Backbone,0.063,0.084,0.0345,0.1245,0.083,0.054,0.042,0.0795,0.025,0.134,0.1025,0.118
CCRC-M35,RG-I Backbone,0.1095,0.1315,0.0765,0.177,0.115,0.0975,0.067,0.116,0.071,0.17,0.137,0.1435
CCRC-M36,RG-I Backbone,0.105,0.139,0.061,0.171,0.115,0.0935,0.056,0.118,0.047,0.176,0.155,0.148
CCRC-M14,RG-I Backbone,0.0105,0.06,0.0115,0,0,0.0345,0,0,0.051,0,0,0.0295
CCRC-M129,RG-I Backbone,0.109,0.167,0.0625,0.1685,0.1285,0.103,0.067,0.1225,0.0525,0.193,0.1515,0.1875
CCRC-M72,RG-I Backbone,0.0515,0.078,0.0205,0.1125,0.0605,0.045,0.0295,0.053,0.0155,0.1155,0.085,0.093
