glycan,dorsolateral prefrontal cortex,hippocampus,striatum,cerebral cortex
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4)[GlcNAc(b1-2/4)]Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2/6)[GlcNAc(b1-2/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,19,0,0,0
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,87,0,100,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,87,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,14,0,0,13
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,13,29,0,0
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2/6)[GlcNAc(b1-2/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,45,33,58,13
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,0,0,17
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2/4)[Gal(b1-3/4)GlcNAc(b1-2/4)]Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,63,18,38,18
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4)]Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2/6)[GlcNAc(b1-2/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,12,13,43
Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)]GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0,12,0,0
