glycan,C1,T1,C2,T2,C3,T3,C4,T4,C5,T5,C6,T6,C7,T7,C8,T8,C9,T9,C10,T10,C11,T11,C12,T12,ST4,ST7,ST6,ST11,ST12
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,4.36,0,2.89,0,5.41,0,4.3,0,6.03,0,13.17,0,2.57,0,0,0,0,0,0
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3/4)GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,2.97,0,0.8,0,0,0,0,0,0
GlcNAc(b1-3)Gal6S(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)GalNAc,2.15,0,0,1.41,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)GalNAc,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)GalNAc,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)GalNAc,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)GalNAc,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Gal(b1-3/4)GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Gal(b1-3/4)GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neu5Ac(a2-3)Gal6S(b1-3/4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0
