glycan,AML193,EOL1,HEL ,HEL 92.1.7,HL60,Kasumi1 ,KG1,KG1a,M07e,ME1,ML1 ,Molm13,MV4-11,NB-4 ,OCI-AML3 ,PLB985,THP1,U937,TF-1 
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.43,0.00,0.60,0.72,3.09,0.00,0.40,0.00,0.68,1.01,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,2.32
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.00,0.00,0.66,0.94,2.15,0.00,0.00,0.00,0.64,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.00,0.00,0.78,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.75,0.33,0.00,0.77,0.00,0.00,0.84
GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.51,0.43,0.92,0.78,0.42,0.31,0.60,0.00,0.00,0.44,1.29,0.65,1.16,0.52,0.44,1.77,0.72,0.66,0.62
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.44,0.68,0.31,0.36,0.49,0.09,0.36,0.40,0.22,0.21,0.27,0.25,0.00,0.15,0.41,0.38,0.38,0.47,0.35
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man6P(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.25,0.49,0.37,0.00,0.00,0.36,0.00,0.62,0.59,0.66,0.76,0.36,0.00,0.55,0.00,0.00,0.95,0.74,0.20
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.05,0.49,0.39,0.21,0.00,2.67,0.24,0.17,0.38,0.48,0.56,1.22,0.00,0.36,0.34,0.00,0.66,3.21,0.46
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.00,0.00,0.19,0.18,0.00,0.32,0.00,0.00,0.00,0.00,0.29,0.44,0.00,0.00,0.26,0.00,0.19,0.25,0.20
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.45,0.00,0.21,0.29,0.14,0.00,0.00,0.22,0.34,0.00,0.55,0.57,0.00,0.26,0.00,0.00,0.33,0.00,0.18
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1.33,1.74,1.72,0.91,0.86,0.90,0.53,0.52,0.95,1.03,0.61,0.64,0.79,0.82,0.86,0.89,0.72,1.52,1.66
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.44,0.57,0.52,0.57,0.28,0.13,0.00,0.81,0.57,0.25,0.38,0.00,0.00,0.27,0.38,0.23,0.20,0.00,0.66
