glycan,mock_1,mock_2,mock_3,mock_4,PR8_1,PR8_2,PR8_3,PR8_4,x31_1,x31_2,x31_3,x31_4
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.04203244,0.029961644,0.045850183,0.035912608,0.00866397,0.01334175,0.026512461,0.022845131,0.004072982,0.01103752,0.005077312,0.005252076
H5N4F1Sulf1,0.007700704,0.002963212,0.010339013,0.010294356,0.019053716,0.033208186,0.047725634,0.049625706,0.031071602,0.023594957,0.048308924,0.045432684
{Fuc(a1-2/3)}Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.046657592,0.062210254,0.034484878,0.022009861,0.011781722,0.002573112,0.01067631,0.001565923,0.006469916,0.015799444,0.022125654,0.01680368
{Fuc(a1-2/3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.200184621,0.124698612,0.174000919,0.176302995,0.061772424,0.066203486,0.044022912,0.090635633,0.088647096,0.05630628,0.080629704,0.03653228
{Fuc(a1-2/3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.462761815,1.309113335,1.578432974,1.296241986,0.70924999,0.726035322,0.642598109,0.804775298,0.847564822,0.693981185,0.90467897,0.64171716
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.073033941,0.062098429,0.067048431,0.057492717,0.063958652,0.060490872,0.058243371,0.078373422,0.056116378,0.04292539,0.090703919,0.048981694
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.00157832,2.278534732,2.435703259,2.619178258,0.934571038,0.96164142,0.862234863,1.115655336,0.331142762,0.310952097,0.381414943,0.311761181
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.029051679,0.008463772,0.030712756,0.010772946,0.006202394,0.005089793,0.003952835,0.004829929,0.022001061,0.010257456,0.015750827,0.010757648
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,2.427618037,2.378014207,2.279296237,2.382175893,0.737164059,0.686293587,0.688191977,0.707533088,0.260890859,0.027334556,0.015078284,0.031564101
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.1808517,0.184002428,0.179902737,0.133486951,0.10097821,0.049713345,0.045749876,0.073110997,0.005323067,0.000558993,0.019971549,0.010929485
