glycan,WT_1,ST3GAL1_1,ST3GAL2_1,ST3GAL3_1,ST3GAL4_1,ST3GAL5_1,ST3GAL6_1,ST3GAL1+2_1,ST3GAL4+6_1,WT_2,ST3GAL1_2,ST3GAL2_2,ST3GAL3_2,ST3GAL4_2,ST3GAL5_2,ST3GAL6_2,ST3GAL1+2_2,ST3GAL4+6_2,WT_3,ST3GAL1_3,ST3GAL3_3,ST3GAL4_3,ST3GAL6_3,ST3GAL4+6_3,WT_4
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.295264,0.2950326,0.2366048,0.309769,0.2946229,0.2134322,0.2882873,0.1851357,0.2829262,0.260558,0.1939056,0.3384168,0.2606139,0.3873996,0.3127114,0.1717635,0.2057838,0.2381103,0.1915122,0.1920513,0.2076994,0.2983822,0.2872323,0.2234612,0.2816938
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-2)Man(a1-3/6)[Man(a1-3/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0307714,0.0432622,0.0568554,0.0576493,0.0663536,0.0133859,0.0459022,0.0351062,0.0917013,0.0519317,0.0490544,0.067831,0.0787155,0.1072763,0.0642592,0.065074,0.0248889,0.0527064,0.0345906,0.041462,0.0345811,0.0474626,0.0341921,0.0732737,0.0436197
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.3252823,0.2325594,0.5264185,0.2920697,0.2892069,0.3567774,0.3075918,0.3625274,0.3280024,0.3112445,0.2215744,0.2863904,0.2668559,0.2259114,0.278043,0.791211,0.3530539,0.3720708,0.2269922,0.2593686,0.3703081,0.2422126,0.2572077,0.3937138,0.2962466
Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,3.0563175,2.8126532,5.0039306,4.4231119,4.3096415,3.2977533,2.4908601,1.8328401,3.230688,3.1020488,1.9535021,4.4575309,2.420782,6.8455045,2.5756987,2.1086681,1.9193524,3.3236242,2.3446967,3.5802366,3.5086945,3.9465823,2.4163547,3.337273,3.8610464
GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.7449555,0.288268,0.2633049,0.0532904,0.44213,0.3506974,0.3624044,0.1281955,0.2075641,0.6548685,0.1414716,0.2084919,0.2398386,0.623981,0.1604434,0.63414,0.1759008,0.2563531,0.5651766,0.1931327,0.2506625,0.3061745,0.4746045,0.4471186,1.0603023
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0201175,0.0160096,2.61E-03,7.06E-03,0.0135922,2.81E-03,0.0466772,0.0333074,7.99E-04,0.0461681,0.0525067,0.0163825,3.40E-04,7.70E-04,0.0479133,1.48E-03,0.0100759,0.0312046,0.0194099,0.028139,4.68E-03,0.0253618,3.86E-03,2.17E-03,8.85E-04
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,4.483743,4.6630215,5.511827,7.8220225,5.1753343,3.7320732,7.3499547,7.9567986,6.9764943,6.6653044,7.3220074,5.0232029,5.4804962,4.1200513,7.7734769,8.5817558,6.3997554,10.5214385,6.3209216,7.7060124,7.708253,8.1758766,8.881333,8.5083812,4.374526
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0896764,0.1228269,0.0199863,0.1022689,0.0685403,0.0824532,0.1358266,0.1936976,0.0793632,0.0977125,0.1741009,0.1829743,0.0889857,0.0533468,0.2182803,0.0973472,0.088679,0.0964635,0.1291535,0.1532086,0.0685118,0.0705222,0.0430484,0.0708038,0.067758
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2242532,0.244364,0.083919,0.1270113,0.2280306,0.1513577,0.2354463,0.1790789,0.2306569,0.1680414,0.183554,0.2722044,0.2017409,0.2710755,0.2707896,0.1743738,0.1898988,0.2150923,0.1524452,0.1315731,0.1252425,0.2189842,0.2020027,0.1957149,0.1508107
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0375209,0.0153308,3.18E-03,4.32E-03,0.0126904,0.0428367,0.0335637,0.0146123,0.0120005,0.0569664,0.0160417,0.0254536,0.0300879,1.58E-03,0.0191581,1.88E-03,0.0208939,6.07E-04,0.0276558,1.71E-03,3.14E-03,1.52E-03,0.0144718,1.51E-03,0.0459451
