glycan,healthy_1A,healthy_2A,healthy_3A,healthy_4A,healthy_5A,healthy_6A,cancer_1B,cancer_2B,cancer_3B,cancer_4B,cancer_5B,cancer_6B
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)[Gal(b1-3/4)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.377859253,0.412389239,0.91931872,0.671613824,1.053134591,1.160491728,0.475970181,1.034540491,0.611704972,0.690314591,0.642335107,0.78838251
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[Gal(b1-3/4)GlcNAc(b1-3)[Fuc(a1-2)]Gal(a1-3)]GalNAc,0.229457956,0.826616437,0.437650433,0.948141701,0.121411411,1.10342769,0.183791903,0.821297728,0.187607363,0.158821292,0.277920108,0.080675806
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3/4)GlcNAc(b1-6)[Fuc(a1-2)Gal(a1-3)]GalNAc,0.662956891,1.784994121,0.201231233,0.604044321,0.06428579,1.421388048,0.246976451,0.55388293,0.058854675,0.210098739,0.076075934,0.364729242
Fuc(a1-2)[GlcNAc(a1-4)]Gal(b1-3/4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)[GlcNAc(a1-4)]Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.591990289,0.037119746,0.218639785,0.04047531,0.419995997,0.335211137,0.076807222,0.064626597,0.2300654,0.055991164,0.627109803,0.313809065
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0.123563037,0.002636067,0.01619836,0.059037668,0.517021078,0.024451461,1.073356545,0.04601585,0.069160905,1.063884809,0.093374855,0.066341265
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]GalNAc,1.322427042,0.415110022,0.353419298,0.371628455,0.362274566,0.336214402,0.217468032,0.142549286,0.234502987,0.125423921,0.173212144,0.130091195
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]GalNAc,1.41293406,2.078211266,3.751323503,3.108484902,2.04229858,2.068802474,2.214355126,3.878231025,2.08092133,2.423248362,1.451279309,1.53147341
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(a1-4)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,1.613917843,0.537382301,0.770161772,0.356352044,1.191308471,0.78328326,0.333012068,0.376540702,0.849729657,0.220922377,0.511645803,0.940255451
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0.292012576,0.066341265,0.078772206,0.12808672,0.35824739,0.09138152,4.174939767,0.059330897,0.125112702,0.459757601,0.21017015,0.24040819
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0.130303215,0.072981636,0.02246162,0.035238393,0.242846721,0.108353116,0.520869034,0.161396639,0.030827788,0.144174327,0.192549931,0.365371733
GlcNAc(a1-4)Gal(b1-3/4)GlcNAc(b1-6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)]Gal(b1-3)[GlcNAc(a1-4)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,1.699285168,0.722810831,1.143197133,0.460402417,1.650491475,1.183719091,0.492652335,0.64679259,1.935682298,0.245780104,1.801778792,1.439359301
Neu5Ac(a2-3)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)Gal(b1-3)]GalNAc,0.447015963,0.312382284,0.68072844,0.342894207,0.682528205,0.293459468,1.511981302,0.53474604,0.705007636,0.537675894,0.56911382,0.306162665
Fuc(a1-2)Gal(b1-3/4)GlcNAc(b1-6)[Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-3)]Gal(b1-3)[Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-6)]GalNAc,0.686683425,0.524022142,1.394651699,0.897470361,1.399132433,0.264837944,0.991339816,2.50753412,1.629935855,2.60034964,0.907743487,0.411210776
