glycan,Az_1,Az_2,Az_3,Az_4,Sp_1,Sp_2,Sp_3,Sp_4,Ge_1,Ge_2,Ge_3,Ge_4,Se_1,Se_2,Se_3,Se_4
{Gal(b1-4)GlcNAc(b1-4/6)}{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.149751528,0.080593036,0.054039323,0.060967515,0.807295826,0.827547835,0.774575914,1.010389195,0.993138197,0.797825586,1.230716508,1.045512675,1.169371442,0.9192325,1.36519044,0.724891024
{Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-4/6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.112143814,0.068342894,0.112785978,0.100835083,0.323067162,0.494629931,0.421115532,0.35594301,0.617046338,0.482743594,0.528494536,0.498016356,1.064699268,1.681860414,1.785452598,1.553171427
{Gal(b1-4)GlcNAc(b1-4/6)}{Fuc(a1-3)}{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.041221751,0.068880181,0.031663666,0.027072454,0.394589716,0.544318359,0.621955626,1.015407818,0.270231038,0.188199931,0.28738197,0.322051274,0.236976471,0.095014875,0.248477442,0.12841969
{Gal(b1-4)GlcNAc(b1-4/6)}{Fuc(a1-3)}{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.018939723,0.033661025,0.053047195,0.09104802,1.858932044,2.037091249,1.704548596,1.906035887,1.756112619,1.317312859,1.229714179,1.914537224,1.270124273,0.901346395,1.267976418,0.853640061
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.06513417,0.076939485,0.064023933,0.050700908,0.263489626,0.32767694,0.196761374,0.349068626,0.253712693,0.249988239,0.457109637,0.268609252,0.322763164,0.382447013,0.588751484,0.311358847
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.068041703,0.116779309,0.068140209,0.101597994,0.127629491,0.273924287,0.153467974,0.240772874,0.151673215,0.121075867,0.143543022,0.242300138,0.208966034,0.178820585,0.267825379,0.229478311
{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.046058581,0.05928961,0.041732712,0.04113182,0.651940039,0.945522278,0.795264361,0.95503104,0.443660549,0.339210506,0.441578315,0.622003939,0.474240461,0.492353488,0.483973043,0.527156622
{Fuc(a1-3)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.034537143,0.027938919,0.029404991,0.026047973,0.372226488,0.523629503,0.278212916,0.789166358,0.252610887,0.116408627,0.299314455,0.311956525,0.290893914,0.271286084,0.360545687,0.190387448
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.030705721,0.079330412,0.086357372,0.151775763,0.259884309,0.319391805,0.236614889,0.298196572,0.152565153,0.144399684,0.162052693,0.232558444,0.200431249,0.392563589,0.342196353,0.464606175
{Neu5Ac(a2-6)}Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.053449693,0.02850307,0.144175226,0.053556377,0.246662676,0.275977185,0.309159588,0.269383866,0.223762807,0.216983304,0.236788233,0.323816548,0.235705333,0.262383498,0.484896751,0.227527568
