glycan,WT1,WT2,WT3,WT4,KO1,KO2,KO3,KO4
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1729,0.1719,0.1632,0.1646,0.1494,0.2065,0.1676,0.1251
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1405,0.0943,0.1027,0.1265,0.1451,0.1338,0.0622,0.0998
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0357,0.0363,0.0659,0.0379,0.0477,0.0104,0.0626,0.0421
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.0620,0.9054,1.2398,1.2992,1.4071,1.1722,1.1459,1.1972
Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0704,0.0545,0.0872,0.0969,0.0594,0.0651,0.0942,0.0753
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.5482,0.2826,0.3706,0.3679,0.3571,0.3283,0.4968,0.4183
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1.4529,1.7291,1.5706,1.9308,2.2046,1.6686,1.5873,1.7432
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2271,0.2608,0.1727,0.2311,0.2294,0.3324,0.2621,0.1557
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)][Neu5Ac(a2-3/6)]GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1067,0.1100,0.1453,0.0821,0.1127,0.1144,0.0967,0.1575
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GlcNAc(b1-2)[GlcNAc(b1-4/6)]Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0149,0.0420,0.0737,0.0749,0.0481,0.0208,0.0808,0.0367
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0289,0.0891,0.0803,0.0587,0.0444,0.0637,0.0449,0.0476
Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0341,0.0431,0.0446,0.0555,0.0491,0.0597,0.0740,0.0236
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2193,0.1929,0.2078,0.2327,0.2617,0.1472,0.1619,0.1387
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0901,0.0859,0.0997,0.1405,0.1331,0.0694,0.0602,0.0698
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0937,0.0875,0.0884,0.0874,0.0654,0.0983,0.1373,0.0809
Glc(a1-3)Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.2307,0.2408,0.3276,0.2617,0.2622,0.3113,0.2377,0.2574
Neu5Ac(a2-3/6)Gal(b1-3/4)[Fuc(a1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.0146,0.0356,0.0395,0.0321,0.0542,0.0082,0.0352,0.0116
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1297,0.1236,0.1227,0.1875,0.1631,0.1163,0.1458,0.1315
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0375,0.0566,0.0458,0.0290,0.0643,0.0590,0.0054,0.0408
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-4)][Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.4209,0.4829,0.4671,0.4315,0.5430,0.3642,0.5247,0.5616
Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,2.3908,2.4921,2.3507,2.4564,2.4390,2.7579,2.4992,2.5442
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.3193,0.2792,0.2746,0.3143,0.2832,0.2108,0.2897,0.2663
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1174,0.0734,0.0745,0.0777,0.0824,0.1064,0.0328,0.0738
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1335,0.1451,0.1197,0.1124,0.1551,0.1359,0.0900,0.0859
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.0558,0.0491,0.0547,0.0758,0.0608,0.0469,0.0819,0.0529
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.1145,0.1506,0.0869,0.0984,0.1202,0.1476,0.0787,0.1109
Man(a1-2/3/6)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.2634,0.2901,0.2574,0.5040,0.4761,0.4891,0.4079,0.3924
Man(a1-2/3/6)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,0.2744,0.2885,0.2799,0.1916,0.2378,0.2979,0.2286,0.1824
Neu5Ac(a2-3/6)Gal(b1-3/4)GlcNAc(b1-2)Man(a1-3/6)[Neu5Ac(a2-3/6)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2596,0.2412,0.3163,0.2800,0.1917,0.2618,0.2351,0.1825
Fuc(a1-3/4)[Gal(b1-3/4)]GlcNAc(b1-2/4/6)[GlcNAc(b1-2/4/6)]Man(a1-3)[GlcNAc(b1-2)[GlcNAc(b1-4/6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,0.2199,0.3419,0.2942,0.1800,0.1977,0.2631,0.3287,0.2284
